k_per_nm,integration_weight_nm_minus2
0,0
0.0018523814641067001,1.092222151921936e-06
0.0037047629282133,2.184444303843813e-06
0.0055571443923200002,3.2766664557658371e-06
0.0074095258564266997,4.3688886076876837e-06
0.0092619073205332993,5.4611107596095629e-06
0.01111428878464,6.553332911532207e-06
0.012966670248747,7.6455550634529918e-06
0.014819051712853,8.7377772153744288e-06
0.016671433176960002,9.8299993672991066e-06
0.018523814641067001,1.0922221519218477e-05
0.020376196105173001,1.2014443671139911e-05
0.022228577569280001,1.3106665823065468e-05
0.024080959033387001,1.4198887974983959e-05
0.025933340497493001,1.5291110126905394e-05
0.0277857219616,1.6383332278831835e-05
0.029638103425707,1.747555443074944e-05
0.031490484889813,1.8567776582670894e-05
0.033342866353920003,1.9659998734598203e-05
0.035195247818026999,2.0752220886514924e-05
0.037047629282133003,2.1844443038436361e-05
0.038900010746239999,2.2936665190364571e-05
0.040752392210347002,2.4028887342280411e-05
0.042604773674452999,2.5121109494201844e-05
0.044457155138560002,2.6213331646130935e-05
0.046309536602666998,2.7305553798045887e-05
0.048161918066773002,2.8397775949967328e-05
0.050014299530879998,2.9489998101897303e-05
0.051866680994987001,3.0582220253811378e-05
0.053719062459092998,3.1674442405732805e-05
0.055571443923200001,3.2766664557663671e-05
0.057423825387306997,3.3858886709576858e-05
0.059276206851413001,3.4951108861498291e-05
0.061128588315519997,3.6043331013430039e-05
0.062980969779627,3.7135553165342412e-05
0.064833351243733003,3.8227775317263853e-05
0.066685732707840006,3.9319997469196338e-05
0.068538114171946996,4.041221962110775e-05
0.070390495636052999,4.1504441773029333e-05
0.072242877100160002,4.2596663924962855e-05
0.074095258564267005,4.368888607687323e-05
0.075947640028372995,4.4781108228794657e-05
0.077800021492479998,4.587333038072923e-05
0.079652402956587001,4.696555253263888e-05
0.081504784420693005,4.8057774684560144e-05
0.083357165884799994,4.9149996836495408e-05
0.085209547348906997,5.0242218988404366e-05
0.087061928813013001,5.1334441140325807e-05
0.088914310277120004,5.2426663292261979e-05
0.090766691741227007,5.3518885444169657e-05
0.092619073205332997,5.4611107596091084e-05
0.09447145466944,5.5703329748028347e-05
0.096323836133547003,5.6795551899935347e-05
0.098176217597653007,5.788777405185657e-05
0.10002859906176,5.8979996203842223e-05
0.10188098052587,6.0072218355653996e-05
0.10373336198997,6.1164440507571012e-05
0.10558574345408001,6.2256662659661838e-05
0.10743812491819001,6.3348884811416603e-05
0.10929050638229,6.4441106963333619e-05
0.1111428878464,3.2766664557716763e-05
