k_per_nm,state_1_eV,state_2_eV
0,1.4478054423840001,1.4127914221860003
0.0023154768301333001,1.4478042055310503,1.4127925807109998
0.0046309536602667,1.4478004950451504,1.4127959902964999
0.0069464304904000001,1.44779431189675,1.41280166487965
0.0092619073205332993,1.4477856575771002,1.4128095919586503
0.011577384150666999,1.4477745341743502,1.41281975412595
0.0138928609808,1.4477609443752002,1.4128321291613499
0.016208337810933001,1.4477448914655004,1.4128466901503001
0.018523814641067001,1.4477263793318504,1.412863405625
0.020839291471199999,1.4477054124681501,1.41288224224895
0.023154768301332999,1.4476819959652503,1.4129031576258999
0.025470245131466999,1.4476561355225506,1.4129261074560997
0.0277857219616,1.4476278374484,1.4129510438607502
0.030101198791733001,1.4475971086623998,1.4129779153897499
0.032416675621867001,1.4475639566984506,1.4130066672570001
0.034732152452000002,1.4475283897075506,1.4130372415833996
0.037047629282133003,1.4474904164617504,1.4130695776440998
0.039363106112267003,1.4474500463572004,1.4131036121185998
0.041678582942399997,1.4474072894182999,1.4131392793410003
0.043994059772532998,1.4473621563020502,1.4131765115480004
0.046309536602666998,1.4473146583024501,1.41321523912345
0.048625013432799999,1.4472648073548002,1.4132553908369498
0.050940490262933,1.4472126160412999,1.4132968940749997
0.053255967093067,1.4471580975958005,1.41333967506425
0.055571443923200001,1.4471012659093503,1.4133836590838502
0.057886920753333002,1.4470421355362004,1.4134287706680002
0.060202397583467002,1.4469807216996002,1.4134749337964001
0.062517874413600003,1.44691704029805,1.4135220720725998
0.064833351243733003,1.4468511079120503,1.4135701088901502
0.067148828073867003,1.44678294181055,1.4136189675856503
0.069464304904000004,1.4467125599584498,1.4136685715792501
0.071779781734133005,1.4466399810232999,1.41371884450185
0.074095258564267005,1.4465652243832501,1.4137697103105
0.076410735394400006,1.4464883101346502,1.4138210933908502
0.078726212224532993,1.4464092591000506,1.4138729186479502
0.081041689054666993,1.4463280928362503,1.4139251115851001
0.083357165884799994,1.4462448336428502,1.41397759837285
0.085672642714932995,1.4461595045707003,1.4140303059061496
0.087988119545066995,1.4460721294307002,1.4140831618524503
0.090303596375199996,1.4459827328027,1.4141360946906998
0.092619073205332997,1.4458913400443005,1.4141890337409997
0.094934550035466997,1.4457979773003504,1.4142419091871998
0.097250026865599998,1.4457026715118999,1.4142946520912503
0.099565503695732999,1.4456054504253,1.4143471944014996
0.10188098052587,1.4455063426018,1.41439946895435
0.104196457356,1.4454053774266,1.4144514094709
0.10651193418613,1.4453025851179999,1.414502950548
0.10882741101627,1.4451979967364499,1.4145540276453996
0.1111428878464,1.4450916441935504,1.4146045770690003
0.11345836467653,1.4449835601164003,1.4146545342916497
0.11577384150667,1.4448737781043499,1.4147038370603999
0.1180893183368,1.4447623328329502,1.4147524260336999
0.12040479516693001,1.4446492597007505,1.4148002406705498
0.12272027199707,1.4445345949969999,1.4148472211501497
0.12503574882720001,1.4444183759082001,1.4148933083410999
0.12735122565733001,1.44430064052365,1.4149384437704002
0.12966670248747,1.4441814278406004,1.4149825695919001
0.13198217931760001,1.4440607777680501,1.4150256285544502
0.13429765614773001,1.4439387311298002,1.4150675639701999
0.13661313297787001,1.4438153296664502,1.4151083196840499
0.13892860980800001,1.4436906160351002,1.4151478400429998
0.14124408663813001,1.4435646338094503,1.4151860698674499
0.14355956346827001,1.4434374274763504,1.4152229544235997
0.14587504029840001,1.4433090424318002,1.4152584393974497
0.14819051712853001,1.4431795249743502,1.4152924708708499
0.15050599395867001,1.44304892229725,1.4153249952999998
0.15282147078880001,1.4429172824767502,1.4153559594960496
0.15513694761892999,1.4427846544598999,1.4153853106087499
0.15745242444907001,1.4426510880478005,1.415412996113
0.15976790127919999,1.4425166338773001,1.4154389637982998
0.16208337810932999,1.4423813433989998,1.4154631617623501
0.16439885493947001,1.4422452688524998,1.4154855384076499
0.16671433176959999,1.4421084632372503,1.4155060424422503
0.16902980859972999,1.4419709802810006,1.4155246228845497
0.17134528542986999,1.44183287440355,1.4155412290724501
0.17366076225999999,1.4416942006772,1.4155558106766
0.17597623909012999,1.4415550147825502,1.4155683177188996
0.17829171592026999,1.4414153729605002,1.4155787005948497
0.18060719275039999,1.4412753319597502,1.4155869101011502
0.18292266958053,1.4411349489798002,1.41559289746835
0.18523814641066999,1.4409942816098,1.4155966143983001
0.18755362324079999,1.4408533877627503,1.4155980131058499
0.18986910007093,1.4407123256050502,1.4155970463670497
0.19218457690106999,1.4405711534819503,1.4155936675701
0.1945000537312,1.4404299298387,1.4155878307731502
0.19681553056133,1.4402887131370503,1.4155794907652499
0.19913100739146999,1.44014756176825,1.4155686031321997
0.2014464842216,1.4400065339616501,1.4155551243268496
0.20376196105173,1.4398656876906999,1.4155390117430002
0.20607743788187,1.4397250805742001,1.4155202237930498
0.208392914712,1.4395847697761501,1.4154987199887996
0.21070839154213,1.4394448119019001,1.4154744610253998
0.21302386837227,1.4393052628926,1.4154474088677498
0.2153393452024,1.4391661779177001,1.4154175268387998
0.21765482203253,1.4390276112661502,1.4153847797095001
0.21997029886267,1.4388896162367499,1.41534913379015
0.2222857756928,1.4387522450280998,1.4153105570217503
0.22460125252293001,1.4386155486283003,1.4152690190686501
0.22691672935307,1.4384795767054503,1.4152244914097496
0.2292322061832,1.4383443774991,1.4151769474295497
0.23154768301333001,1.4382099977129001,1.4151263625080501
0.23386315984347,1.4380764824091503,1.4150727141086001
0.23617863667360001,1.4379438749054001,1.4150159818641503
0.23849411350373001,1.4378122166740501,1.41495614766065
0.24080959033387001,1.4376815472445006,1.4148931957178501
0.24312506716400001,1.4375519041087503,1.4148271126668499
0.24544054399413001,1.43742332263045,1.4147578876243001
0.24775602082427001,1.4372958359585002,1.4146855122621496
0.25007149765440001,1.4371694749441002,1.4146099808738999
0.25238697448453001,1.4370442680629505,1.4145312904361997
0.25470245131467001,1.4369202413423003,1.41444944066515
0.25701792814480001,1.4367974182928502,1.4143644340678003
0.25933340497493002,1.4366758198470502,1.4142762759880503
0.26164888180507001,1.4365554643025999,1.4141849746463997
0.26396435863520001,1.4364363672729998,1.4140905411736
0.26627983546533002,1.4363185416444002,1.4139929896368999
0.26859531229547001,1.43620199754055,1.41389233705985
0.27091078912560002,1.4360867422945505,1.41378860343365
0.27322626595573002,1.4359727804299005,1.4136818117206502
0.27554174278587001,1.4358601136495002,1.4135719878483499
0.27785721961600002,1.4357487408345502,1.4134591606956501
0.28017269644613002,1.4356386580523004,1.4133433620679003
0.28248817327627002,1.4355298585748499,1.4132246266628501
0.28480365010640002,1.4354223329075502,1.4131029920260003
0.28711912693653002,1.4353160688280002,1.4129784984954998
0.28943460376667002,1.4352110514364502,1.4128511891360498
0.29175008059680002,1.4351072632163004,1.41272110966255
0.29406555742693002,1.4350046841052,1.41258830835275
0.29638103425707002,1.4349032915768001,1.4124528359498498
0.29869651108720002,1.4348030607326503,1.4123147455548501
0.30101198791733003,1.4347039644032005,1.4121740925098498
0.30332746474747002,1.4346059732578504,1.4120309342719501
0.30564294157760002,1.4345090559229499,1.4118853302801
0.30795841840772997,1.4344131791070003,1.4117373418136996
0.31027389523787002,1.4343183077320505,1.4115870318459498
0.31258937206800003,1.4342244050705506,1.4114344648918502
0.31490484889812997,1.4341314328853503,1.411279706852
0.31722032572827003,1.4340393515738501,1.4111228248543499
0.31953580255839997,1.4339481203122506,1.4109638870932999
0.32185127938852998,1.4338576972021,1.4108029626693996
0.32416675621867003,1.4337680394147501,1.4106401214289499
0.32648223304879997,1.4336791033351501,1.4104754338058001
0.32879770987892998,1.43359084470255,1.41030897066595
0.33111318670906997,1.4335032187479004,1.4101408031556
0.33342866353919998,1.43341618032625,1.4099710025538501
0.33574414036932998,1.4333296840450005,1.4097996401310002
0.33805961719946998,1.4332436843852505,1.4096267870123498
0.34037509402959998,1.4331581358178,1.4094525140491001
0.34269057085972998,1.4330729929117501,1.4092768916953
0.34500604768986998,1.4329882104365506,1.4090999898929
0.34732152451999998,1.4329037434564504,1.4089218779638499
0.34963700135012998,1.4328195474178,1.4087426245097996
0.35195247818026998,1.4327355782290001,1.4085622973197998
0.35426795501039998,1.4326517923327999,1.4083809632847499
0.35658343184052999,1.4325681467718503,1.4081986883206001
0.35889890867066998,1.4324845992468,1.4080155372975502
0.36121438550079998,1.4324011081676999,1.4078315739775498
0.36352986233092999,1.4323176326989502,1.4076468609579003
0.36584533916106998,1.4322341327980499,1.4074614596216
0.36816081599119999,1.4321505692482501,1.4072754300943497
0.37047629282132999,1.43206690368555,1.4070888312066501
0.37279176965146998,1.4319830986209998,1.4069017204623
0.37510724648159999,1.4318991174576501,1.4067141540117003
0.37742272331172999,1.4318149245034,1.4065261866298497
0.37973820014186999,1.4317304849794501,1.4063378716993498
0.38205367697199999,1.4316457650251999,1.4061492611971
0.38436915380212999,1.4315607316996999,1.4059604056849002
0.38668463063226999,1.4314753529800999,1.4057713543038499
0.38900010746239999,1.4313895977572002,1.4055821547715999
0.39131558429252999,1.4313034358288002,1.4053928533826001
0.39363106112266999,1.43121683789065,1.4052034950109999
0.39594653795279999,1.4311297755254004,1.405014123116
0.39826201478293,1.4310422211905498,1.4048247797490498
0.40057749161306999,1.4309541482042503,1.4046355055633502
0.40289296844319999,1.4308655307301501,1.4044463398245499
0.40520844527333,1.4307763437614003,1.4042573204235502
0.40752392210346999,1.4306865631037,1.4040684838898496
0.4098393989336,1.4305961653573502,1.4038798654070499
0.41215487576373,1.4305051278997503,1.4036914988284499
0.41447035259387,1.4304134288661003,1.40350341669415
0.416785829424,1.43032104713125,1.4033156502485502
0.41910130625413,1.4302279622901002,1.403128229459
0.42141678308427,1.4301341546391002,1.4029411830343497
0.4237322599144,1.4300396051567998,1.4027545384445999
0.42604773674453,1.4299442954849499,1.40256832194085
0.42836321357467,1.4298482079098498,1.4023825585751997
0.4306786904048,1.4297513253436003,1.4021972722212999
0.43299416723493001,1.4296536313056005,1.4020124855953
0.43530964406507,1.4295551099048003,1.4018282202763999
0.4376251208952,1.4294557458214505,1.4016444967282999
0.43994059772533001,1.4293555242901499,1.4014613343199001
