solver_case_id,band,state,energy_eV,left_barrier_edge_eV,right_barrier_edge_eV,barrier_edge_eV,binding_energy_meV,bound_pass,bound_checks,centroid_nm,rms_width_nm,active_region_probability,left_padding_probability,right_padding_probability,left_boundary_probability,right_boundary_probability,left_boundary_amplitude_nm_minus_half,right_boundary_amplitude_nm_minus_half,quantum_start_nm,quantum_end_nm
Solve_00,electron,1,2.937529942754,3.3244289271371,3.3244289271371,3.3244289271371,386.89898438310036,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",63.611084677645174,1.8817929539758933,0.9817877838901864,0.017952888159113868,0.0002593279506997103,5.361788330934798e-40,7.745057884951791e-42,0.0,0.0,18.0,113.8
Solve_00,electron,2,3.045004118842,3.3244289271371,3.3244289271371,3.3244289271371,279.4248082951003,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",69.73630020171771,2.3648603794424408,0.9105060717995547,0.005035460756833466,0.08445846744361198,5.038925726665735e-35,8.451658447695127e-34,0.0,0.0,18.0,113.8
Solve_00,electron,3,3.112343906882,3.3244289271371,3.3244289271371,3.3244289271371,212.08502025510035,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",64.04022300841407,3.3245174938627904,0.9104991972808226,0.07516654951651011,0.014334253202667376,7.750673309945043e-30,1.4780525969352842e-30,0.0,0.0,18.0,113.8
Solve_00,electron,4,3.326074995444,3.3244289271371,3.3244289271371,3.3244289271371,-1.6460683068997284,False,"{""binding"": false, ""active_probability"": false, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",51.35740850481099,21.931423949821433,0.009162748930606018,0.7841730691462461,0.20666418192314784,0.00016109248942113892,4.245497435457804e-05,0.0,0.0,18.0,113.8
Solve_00,electron,5,3.326308926831,3.3244289271371,3.3244289271371,3.3244289271371,-1.8799996938998476,False,"{""binding"": false, ""active_probability"": false, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",81.3889828656036,22.879219654009336,0.00035298956233081663,0.20828963403984332,0.791357376397826,5.2079170727035876e-05,0.0001978650358743001,0.0,0.0,18.0,113.8
Solve_00,electron,6,3.330878872798,3.3244289271371,3.3244289271371,3.3244289271371,-6.449945660899736,False,"{""binding"": false, ""active_probability"": false, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",51.60122179424695,23.229427025945803,0.041798702283133926,0.7623849832698207,0.1958163144470453,0.0006110475957920156,0.00015694575678387666,0.0,0.0,18.0,113.8
Solve_00,heavy_hole,1,1.448525453986,1.1795333333333,1.1795333333333,1.1795333333333,268.99212065269995,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",63.551022883912644,1.4800918506934593,0.9974400397887698,0.0025595245725915836,4.3563863855133564e-07,7.718519357330314e-69,3.735665421508456e-70,0.0,0.0,18.0,113.8
Solve_00,heavy_hole,2,1.415482054683,1.1795333333333,1.1795333333333,1.1795333333333,235.9487213497,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",63.87041435600455,2.5719488790799243,0.9887860397534203,0.010235949358654699,0.0009780108879251627,2.73173636310753e-64,2.56865558041379e-65,0.0,0.0,18.0,113.8
Solve_00,heavy_hole,3,1.41250217051,1.1795333333333,1.1795333333333,1.1795333333333,232.96883717670002,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",70.02564708251894,1.71225293007502,0.9769095931371999,0.0005672398365701084,0.022523167026230195,3.7418969302986267e-65,1.4493753592953523e-63,0.0,0.0,18.0,113.8
Solve_00,heavy_hole,4,1.361021037279,1.1795333333333,1.1795333333333,1.1795333333333,181.4877039456999,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",63.55995340431154,2.3555139079475595,0.9730258257937192,0.026880723606212825,9.34506000678037e-05,2.1605700179362846e-56,7.511186610269852e-59,0.0,0.0,18.0,113.8
Solve_00,heavy_hole,5,1.289979920618,1.1795333333333,1.1795333333333,1.1795333333333,110.44658728470003,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",65.35039620190383,3.6913611028331097,0.9311819746782444,0.04145952522154707,0.027358500100208513,1.8841246981675187e-44,1.243304776619351e-44,0.0,0.0,18.0,113.8
Solve_00,heavy_hole,6,1.280537159303,1.1795333333333,1.1795333333333,1.1795333333333,101.00382596969992,True,"{""binding"": true, ""active_probability"": true, ""left_boundary_probability"": true, ""right_boundary_probability"": true, ""left_boundary_amplitude"": true, ""right_boundary_amplitude"": true}",68.50278199558929,3.5488439872661637,0.8922618126429641,0.017859177675857686,0.08987900968117819,5.38958853395017e-43,2.7123918514705147e-42,0.0,0.0,18.0,113.8
